ID,Pred
2023_1103_1104,0.21057293956980394
2023_1103_1112,0.2166013381092296
2023_1104_1112,0.4964371792682048
2023_1103_1120,0.19099396493914203
2023_1104_1120,0.47553531665294646
2023_1112_1120,0.47897774316713654
2023_1103_1124,0.18759704925442458
2023_1104_1124,0.4746431999447568
2023_1112_1124,0.5272616276241385
2023_1120_1124,0.4990327544487713
2023_1103_1129,0.268595268486677
2023_1104_1129,0.756959268915514
2023_1112_1129,0.6389941044459082
2023_1120_1129,0.7820931579580866
2023_1124_1129,0.6772156934434103
2023_1103_1140,0.23623214752316246
2023_1104_1140,0.5347361948840544
2023_1112_1140,0.6528453654265124
2023_1120_1140,0.5582418429316881
2023_1124_1140,0.6075228889862975
2023_1129_1140,0.39131992577866426
2023_1103_1155,0.2357441376693736
2023_1104_1155,0.5328959740018068
2023_1112_1155,0.6492912503929947
2023_1120_1155,0.5567845385274011
2023_1124_1155,0.6054058742509114
2023_1129_1155,0.3896913616107865
2023_1140_1155,0.4482861645162755
2023_1103_1158,0.4758738862633042
2023_1104_1158,0.7416584986021743
2023_1112_1158,0.7353586410178417
2023_1120_1158,0.7593632994235255
2023_1124_1158,0.7543406040192516
2023_1129_1158,0.6442592376811874
2023_1140_1158,0.7464044665221233
2023_1155_1158,0.7467497787065992
2023_1103_1159,0.5320643956400183
2023_1104_1159,0.8140225684615774
2023_1112_1159,0.8078959599527415
2023_1120_1159,0.8311940061254282
2023_1124_1159,0.829954718211361
2023_1129_1159,0.7619281233725597
2023_1140_1159,0.7904160568922448
2023_1155_1159,0.7910797752116954
2023_1158_1159,0.5563403677946895
2023_1103_1161,0.282815132991555
2023_1104_1161,0.7784611998295853
2023_1112_1161,0.6559843427463881
2023_1120_1161,0.802104554035616
2023_1124_1161,0.6937760933946038
2023_1129_1161,0.5194375442182149
2023_1140_1161,0.6284293541543203
2023_1155_1161,0.6301385027221271
2023_1158_1161,0.3723590995244801
2023_1159_1161,0.25202637699614583
2023_1103_1163,0.15581548498249728
2023_1104_1163,0.31039419721968287
2023_1112_1163,0.3974320862810094
2023_1120_1163,0.3292479412455515
2023_1124_1163,0.3877974841093438
2023_1129_1163,0.19669597273686498
2023_1140_1163,0.27461991839523475
2023_1155_1163,0.27672461266181525
2023_1158_1163,0.11216442894725508
2023_1159_1163,0.14027632526389958
2023_1161_1163,0.18286726690143465
2023_1103_1166,0.1931488388854706
2023_1104_1166,0.4801895000937179
2023_1112_1166,0.5307168258395069
2023_1120_1166,0.505294128916061
2023_1124_1166,0.5063326467733885
2023_1129_1166,0.32899080656341656
