Season,WTeamID,LTeamID,WSeed,LSeed,WELO,WVARS,LELO,LVARS,BasePercent,NumTimes,EloPercent,BaseVariance,BaseWeight,SDDiff,SDDiffNorm,BaseWeightNorm,RTTMPrediction,True,Residuals
1998,3104,3422,2,15,1626.2556740996497,14.287716356834936,1550.4191540807883,15.354210694695958,0.999,100,0.6074366826163671,0.000999000000000001,2000.0,14.287716356834936,1.7387672232003721,2.0,0.8168978734355463,1,0.03352638875242522
1998,3104,3417,2,7,1626.2556740996497,14.287716356834936,1574.34483859899,15.02160962200058,0.7878787878787878,66,0.5741547128473257,0.16712580348943987,394.9120879120879,14.287716356834936,1.7387672232003721,1.1942329758594818,0.6611769838377785,1,0.11480103628126505
1998,3112,3365,3,14,1596.1148768452808,7.851471683756177,1587.486949524775,4.805698810525419,0.999,100,0.5124140337694792,0.000999000000000001,2000.0,7.851471683756177,1.3134175979717677,2.0,0.8061204271491567,1,0.03758928876882547
1998,3112,3438,3,6,1596.1148768452808,7.851471683756177,1561.748158196894,14.446901198215878,0.6212121212121212,66,0.5492970104689548,0.23530762167125804,280.4839024390244,7.851471683756177,1.3134175979717677,1.1367891076501127,0.5826624870961742,1,0.17417059967675097
1998,3163,3193,2,15,1665.6848494557566,3.993900563052711,1550.560386822586,15.392164877147495,0.999,100,0.6598688172582783,0.000999000000000001,2000.0,3.993900563052711,1.0584837795998463,2.0,0.8816330685541224,1,0.014010730459913093
1998,3163,3203,2,10,1665.6848494557566,3.993900563052711,1564.3229959677828,17.413304340635644,0.8571428571428571,35,0.6418690782326861,0.12244897959183677,285.83333333333326,3.993900563052711,1.0584837795998463,1.1394745649263722,0.7534721921745924,1,0.06077596003120111
1998,3163,3112,2,3,1665.6848494557566,3.993900563052711,1596.1148768452808,7.851471683756177,0.5531914893617021,47,0.5988022481922926,0.24717066545948393,190.15201465201466,3.993900563052711,1.0584837795998463,1.0914417744237022,0.5756472661708426,1,0.1800752427082797
1998,3198,3266,7,10,1640.4335325255297,4.174185604486071,1571.8536284210506,7.053278759823998,0.65,100,0.5974322931937988,0.22749999999999998,439.5604395604396,4.174185604486071,1.070398207764573,1.2166468070082528,0.6253969078928513,1,0.14032747661623693
1998,3203,3208,10,7,1564.3229959677828,17.413304340635644,1567.2148350659895,18.68753575046678,0.35,100,0.49583840510354155,0.22749999999999998,439.5604395604396,17.413304340635644,1.9453267536497816,1.2166468070082528,0.4397235051827862,1,0.3139097506446635
1998,3234,3269,4,13,1553.9918059590907,15.256211114796676,1552.7951561070392,15.771872815938025,0.94,100,0.5017221107596377,0.05640000000000005,1773.0496453900694,15.256211114796676,1.802771763620965,1.8860690990914004,0.7258094093110433,1,0.07518048002235898
1998,3242,3408,5,12,1588.435953899103,6.867864033231299,1571.403469131527,7.798963151458754,0.78,100,0.5244920984998311,0.17159999999999997,582.7505827505828,6.867864033231299,1.2484142976353596,1.2885294090113368,0.6542661429357288,1,0.11953189992053789
1998,3242,3234,5,4,1588.435953899103,6.867864033231299,1553.9918059590907,15.256211114796676,0.4583333333333333,72,0.5494073545667085,0.24826388888888892,290.01398601398597,6.867864033231299,1.2484142976353596,1.1415732861515995,0.5059060115439609,1,0.24412886942839654
1998,3301,3263,4,13,1604.1479328798962,6.427302376474483,1559.4697702067726,12.958199848754823,0.94,100,0.5639449585771539,0.05640000000000005,1773.0496453900694,6.427302376474483,1.2192990689406795,1.8860690990914004,0.7923448631316721,1,0.043120655867804
1998,3301,3464,4,12,1604.1479328798962,6.427302376474483,1614.878609608263,4.03567759878679,0.8636363636363636,22,0.484562223247377,0.11776859504132231,186.80701754385964,6.427302376474483,1.2192990689406795,1.0897625590079616,0.6634664154455914,1,0.1132548535330393
1998,3301,3330,4,1,1604.1479328798962,6.427302376474483,1652.1777760786426,4.416820507996569,0.21666666666666667,60,0.43131647021667086,0.16972222222222222,353.518821603928,6.427302376474483,1.2192990689406795,1.173453223696751,0.3260479454652064,1,0.4542113718116695
