ID,Pred
2023_1103_1104,0.36767789238036114
2023_1103_1112,0.15698385979731186
2023_1104_1112,0.45582833009966717
2023_1103_1120,0.3512915572402194
2023_1104_1120,0.4581815571199761
2023_1112_1120,0.5203212150270297
2023_1103_1124,0.09670384052496489
2023_1104_1124,0.43273391033897773
2023_1112_1124,0.50166288863688
2023_1120_1124,0.4562387843663872
2023_1103_1129,0.4324949627549749
2023_1104_1129,0.6359863700979822
2023_1112_1129,0.7281910435678352
2023_1120_1129,0.659002621517577
2023_1124_1129,0.639511706424313
2023_1103_1140,0.3956428800810681
2023_1104_1140,0.6967456062402796
2023_1112_1140,0.6593942314944264
2023_1120_1140,0.7235073496043187
2023_1124_1140,0.6100345148534894
2023_1129_1140,0.39821695562172926
2023_1103_1155,0.39245610647475315
2023_1104_1155,0.6922446471430668
2023_1112_1155,0.6557151109729027
2023_1120_1155,0.7192848329049477
2023_1124_1155,0.6078579893650574
2023_1129_1155,0.3964694241078287
2023_1140_1155,0.33952092903332354
2023_1103_1158,0.4758738862633042
2023_1104_1158,0.8330700388656561
2023_1112_1158,0.7963356786971002
2023_1120_1158,0.8497837746153442
2023_1124_1158,0.816997491574293
2023_1129_1158,0.5444118289490526
2023_1140_1158,0.583871522997308
2023_1155_1158,0.5868905828928428
2023_1103_1159,0.5321195650528506
2023_1104_1159,0.6572534056908084
2023_1112_1159,0.8673872823293302
2023_1120_1159,0.6712459750006329
2023_1124_1159,0.918686521062097
2023_1129_1159,0.5984394447778952
2023_1140_1159,0.632152955242336
2023_1155_1159,0.6354957675974792
2023_1158_1159,0.5563403677946895
2023_1103_1161,0.45203368161633206
2023_1104_1161,0.6538805149276197
2023_1112_1161,0.7476390247046418
2023_1120_1161,0.6752535938388398
2023_1124_1161,0.6550125388764024
2023_1129_1161,0.5194375442182149
2023_1140_1161,0.6214261630357313
2023_1155_1161,0.62326011104666
2023_1158_1161,0.4753500457834307
2023_1159_1161,0.42080861277567444
2023_1103_1163,0.0892210518924886
2023_1104_1163,0.28277149299012677
